[00:19:22] [Server thread/INFO]: Starting minecraft server version 1.15.2
[00:19:22] [Server thread/INFO]: Loading properties
[00:19:22] [Server thread/INFO]: Default game type: SURVIVAL
[00:19:22] [Server thread/INFO]: Generating keypair
[00:19:22] [Server thread/INFO]: Starting Minecraft server on 51.68.115.89:25565
[00:19:22] [Server thread/INFO]: Using epoll channel type
[00:19:23] [Server thread/INFO]: This server is running CraftBukkit version git-Bukkit-8160e29 (MC: 1.15.2) (Implementing API version 1.15.2-R0.1-SNAPSHOT)
[00:19:29] [Server thread/WARN]: Plugin DiscordChat v1.4.2 does not specify an api-version.
[00:19:29] [Server thread/INFO]: [WorldEdit] Loading WorldEdit v7.0.1;61bc012
[00:19:30] [Server thread/INFO]: Got request to register class com.sk89q.worldedit.bukkit.BukkitServerInterface with WorldEdit [com.sk89q.worldedit.extension.platform.PlatformManager@74bd2d75]
[00:19:30] [Server thread/INFO]: [DiscordChat] Loading DiscordChat v1.4.2
[00:19:30] [Server thread/INFO]: [Essentials] Loading Essentials v2.17.1.0
[00:19:30] [Server thread/INFO]: [Multiverse-Core] Loading Multiverse-Core v4.1.0-b775
[00:19:30] [Server thread/INFO]: [Multiverse-Portals] Loading Multiverse-Portals v4.1.0-b805
[00:19:30] [Server thread/INFO]: [WorldEdit] Enabling WorldEdit v7.0.1;61bc012
[00:19:30] [Server thread/INFO]: WEPIF: Using the Bukkit Permissions API.
[00:19:31] [Server thread/WARN]: 
**********************************************
** This WorldEdit version does not fully support your version of Bukkit.
**
** When working with blocks or undoing, chests will be empty, signs
** will be blank, and so on. There will be no support for entity
** and block property-related functions.
**
** Please see https://worldedit.enginehub.org/en/latest/faq/#bukkit-adapters
**********************************************

[00:19:32] [Server thread/WARN]: Unknown property snowy for block minecraft:grass_block
[00:19:32] [Server thread/WARN]: Unknown property snowy for block minecraft:grass_block
[00:19:32] [Server thread/WARN]: Unknown property snowy for block minecraft:podzol
[00:19:32] [Server thread/WARN]: Unknown property snowy for block minecraft:podzol
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:oak_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:oak_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:spruce_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:spruce_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:birch_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:birch_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:jungle_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:jungle_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:acacia_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:acacia_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:dark_oak_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:dark_oak_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:oak_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:spruce_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:birch_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:jungle_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:acacia_sapling
[00:19:32] [Server thread/WARN]: Unknown property stage for block minecraft:dark_oak_sapling
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:water
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
[00:19:32] [Server thread/WARN]: Unknown property level for block minecraft:lava
